model,fold,mse,pcc,spr
RandomForest,0,0.5401503893937646,0.7430682064846257,0.7503630198529557
ExtraTrees,0,0.4665186084846092,0.7995408018499808,0.787983288625378
RandomForest,1,0.41422703166857044,0.7432562412431247,0.6787065597436773
ExtraTrees,1,0.3986874146185373,0.7549641303468173,0.7172962184916829
RandomForest,2,0.4190979111019137,0.7655563162958936,0.7552242721566725
ExtraTrees,2,0.42739971711673547,0.758762159544883,0.7681552557535531
RandomForest,3,0.5412871077191858,0.6609681271938479,0.656682685023972
ExtraTrees,3,0.4858781948463166,0.7044972475986141,0.700346098829501
RandomForest,4,0.4037957865244742,0.7215218661553877,0.7011952452541206
ExtraTrees,4,0.3971591915704994,0.7251023430032023,0.6955010401997709
